165	180	153	255	52	76	1
175	180	217	255	77	128	1
177	180	192	255	129	178	1
177	180	178	255	179	255	1
0	5	153	255 	26	76	1
0	5	178	255	77	128	1
0	5	178	255	179	255	1
0	3	153	255	129	178	1
174	176	153	255	129	178	1
6	15	178	255	77	128	2
4	15	66	255	129	178	2
6	15	91	255	179	255	2
16	30	91	255	179	255	3
16	35	103	255	129	178	4
26	90	77	255	77	128	5
36	90	67	255	129	178	5
90	95	38	177	77	128	5
31	82	92	255	179	255	5
21	85	25	255	26	76	6
91	94	178	255	77	178	7
83	90	26	255	179	255	7
111	140	39	77	179	255	8
110	125	38	177	77	128	8
91	110	38	178	129	178	8
95	125	178	255	129	178	8
91	110	67	255	179	255	8
111	145	38	177	129	178	8
111	121	78	255	179	255	8
115	120	51	152	39	76	8
95	109	38	255	77	128	8
122	125	178	255	179	255	8
86	114	25	255	26	76	9
115	119	153	255	26	76	9
110	125	178	255	77	128	9
126	145	77	177	77	128	10
126	145	178	255	129	178	10
122	140	78	255	179	255	10
140	150	26	178	179	255	10
126	140	78	255	179	255	10
122	125	78	177	179	255	10
140	145	51	178	179	255	10
120	165	153	255	26	76	11
126	145	178	255	77	128	11
146	165	38	177	77	128	12
156	174	178	255	77	128	12
146	155	178	255	77	128	13
146	165	153	255	129	178	13
141	150	178	255	179	255	13
146	150	51	178	179	255	14
146	165	38	153	129	178	14
166	180	77	177	77	128	14
0	5	38	177	77	128	14
166	170	77	255	129	178	14
151	176	78	255	179	255	14
175	180	178	216	77	128	14
177	180	153	191	129	178	14
171	173	153	255	129	178	14
177	180	66	177	179	255	14
166	170	51	76	129	178	15
0	5	51	177	179	255	15
171	180	38	153	129	178	15
0	180	0	24	26	76	16
166	180	38	76	77	128	16
121	176	25	50	39	76	16
166	176	51	152	39	76	16
121	176	25	152	26	38	16
26	90	38	76	77	128	17
151	176	26	50	179	255	17
177	180	26	65	179	255	17
126	145	38	76	77	128	17
36	90	38	66	129	178	17
0	3	38	153	129	178	17
0	180	0	37	77	179	17
16	25	38	102	77	128	17
166	170	38	50	129	178	17
16	35	38	102	129	178	17
177	180	25	152	26	76	18
6	20	153	255	26	76	18
6	15	38	177	77	128	18
16	25	103	255	77	128	18
0	20	25	152	26	76	18
165	180	153	255	40	51	18
0	180	0	24	0	25	19
0	180	25	255	0	25	20
115	120	25	50	26	76	20
115	120	51	152	26	38	20
121	165	51	152	39	76	20
165	180	153	255	26	39	20
115	176	25	152	26	76	20
0	180	0	25	179	255	21
91	110	26	66	179	255	22
31	82	26	91	179	255	22
151	176	51	77	179	255	22
6	15	26	90	179	255	22
16	30	26	90	179	255	22
4	15	38	65	129	178	22
0	5	26	50	179	255	22
111	140	26	38	179	255	22
140	150	26	50	179	255	22
